Date,Subject_ID,Rainfall_mm,Is_Rainy_Day,Session_Difficulty,Truth_Extraction_Speed_ms,Clarity_Score_1_to_10
2023-09-01,SUBJ-001,0.0,0,3,512,6.1
2023-09-02,SUBJ-002,0.0,0,2,498,6.5
2023-09-03,SUBJ-003,12.5,1,4,345,8.8
2023-09-04,SUBJ-001,25.1,1,5,298,9.2
2023-09-05,SUBJ-002,0.0,0,1,550,5.9
2023-09-06,SUBJ-003,0.0,0,3,489,6.3
2023-09-07,SUBJ-001,5.2,1,2,388,7.9
2023-09-08,SUBJ-002,0.0,0,4,521,5.5
2023-09-09,SUBJ-003,0.0,0,5,580,4.9
2023-09-10,SUBJ-001,0.0,0,2,491,6.8
2023-09-11,SUBJ-002,33.8,1,5,281,9.5
2023-09-12,SUBJ-003,18.3,1,4,315,9.1
2023-09-13,SUBJ-001,0.0,0,3,505,6.2
2023-09-14,SUBJ-002,0.0,0,1,485,7.0
2023-09-15,SUBJ-003,2.1,1,2,401,7.5
2023-09-16,SUBJ-001,0.0,0,4,533,5.8
2023-09-17,SUBJ-002,0.0,0,3,510,6.4
2023-09-18,SUBJ-003,0.0,0,2,495,6.6
2023-09-19,SUBJ-001,8.9,1,5,360,8.5
2023-09-20,SUBJ-002,15.0,1,4,333,8.9
2023-09-21,SUBJ-003,0.0,0,1,542,5.7
2023-09-22,SUBJ-001,0.0,0,3,501,6.3
2023-09-23,SUBJ-002,0.0,0,2,499,6.5
2023-09-24,SUBJ-003,0.0,0,4,528,5.9
2023-09-25,SUBJ-001,45.2,1,5,255,9.8
2023-09-26,SUBJ-002,21.7,1,3,305,9.0
2023-09-27,SUBJ-003,0.0,0,2,508,6.1
2023-09-28,SUBJ-001,0.0,0,1,480,7.1
2023-09-29,SUBJ-002,0.0,0,4,539,5.4
2023-09-30,SUBJ-003,1.5,1,3,410,7.3
2023-10-01,SUBJ-001,0.0,0,2,493,6.7
2023-10-02,SUBJ-002,0.0,0,5,591,4.8
2023-10-03,SUBJ-003,11.1,1,4,351,8.7
2023-10-04,SUBJ-001,0.0,0,3,515,6.0
2023-10-05,SUBJ-002,0.0,0,2,503,6.4
2023-10-06,SUBJ-003,7.8,1,3,372,8.1
2023-10-07,SUBJ-001,9.2,1,4,358,8.6
2023-10-08,SUBJ-002,0.0,0,1,488,6.9
2023-10-09,SUBJ-003,0.0,0,5,575,5.1
2023-10-10,SUBJ-001,0.0,0,2,496,6.6
2023-10-11,SUBJ-002,0.0,0,3,518,6.2
2023-10-12,SUBJ-003,28.4,1,5,289,9.4
2023-10-13,SUBJ-001,3.3,1,2,395,7.7
